year,month,day,tmin,tmax,wind,rain
# Merlimau, Melaka; 2.253213 N, 102.451753 E; 1987/1/1 - 2008/12/31
1987,5,12,23,32.1,0.9,0
1987,5,13,22.3,31.9,0.6,16
1987,5,14,24.2,30.2,1.2,6.4
1987,5,15,23.4,27.7,1.3,0
1987,5,16,23.9,30.2,1.4,7.9
1987,5,17,21.8,30.5,1.3,0
1987,5,18,23.8,28.8,1.4,14.2
1987,5,19,24.8,29.5,1.9,8.4
1987,5,20,23.9,31.7,1.2,0
1987,5,21,24,29.5,0.9,15.2
1987,5,22,22.6,32.5,1.2,0
1987,5,23,23.9,29.1,1.5,9.5
1987,5,24,24.1,31.6,1.3,0
1987,5,25,24.6,28.8,0.8,0
1987,5,26,23,29.3,1.1,10.8
1987,5,27,22.6,29.6,0.8,6.9
1987,5,28,23.6,32.2,0.9,13.6
1987,5,29,24.5,28.9,1.4,0
1987,5,30,23.4,28.8,1.2,15.6
1987,5,31,23.6,32,1.2,0
1987,6,1,24,34.7,1.1,0
1987,6,2,24.3,30.8,0.6,18.3
1987,6,3,23.6,32.3,0.7,4.3
1987,6,4,22.5,33.4,0.6,0
1987,6,5,23.4,32.2,0.9,24.1
1987,6,6,23.3,34.7,0.9,0
1987,6,7,23.6,33.8,1,0
1987,6,8,24.5,32.2,1.2,0
1987,6,9,25.1,32,1.1,0
1987,6,10,25.9,31,1.3,9.7
1987,6,11,26,33.4,1.3,14.6
1987,6,12,25,33.3,1.5,12.9
1987,6,13,24.9,31.5,1.2,11.5
1987,6,14,23.5,29.5,1.3,11.3
1987,6,15,25.2,33.9,1.5,0
1987,6,16,25.3,31.9,1.4,14.8
1987,6,17,24.8,32.7,1.3,0
1987,6,18,25.9,29.8,1.4,18.3
1987,6,19,24.9,28.8,1.2,14.1
1987,6,20,24.5,30,1.4,15.6
1987,6,21,24.9,28.9,1.2,18
1987,6,22,25.2,29.1,1.1,21.4
1987,6,23,24.5,33.4,1.1,0
1987,6,24,25.1,31.9,1.5,0
1987,6,25,24.9,32.4,1.4,0
